complexity,drug_pubchem_id,exact_mass,hba,hbd,heavy_atoms,molecular_formula,mw_freebase,mw_monoisotopic,smiles,tpsa
1810,11954269,957.581,3,14,68,C53H83NO14,958.24,957.581,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OCCO)OC)C)C)O)OC)C)C)C)OC,205.0
126,11954225,367.939,1,5,11,C4H4AuNaO4S,368.088,367.939,[H+].C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Au+],81.3
731,9574101,473.264,4,7,34,C24H35N5O5,473.574,473.264,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N,146.0
249,9567831,246.008,3,3,15,C8H8Cl2N4O,247.079,246.008,C1=CC(=C(C(=C1)Cl)C=NN=C(N)NO)Cl,83.0
538,6918453,678.133,0,10,32,C20H34AuO9PS,678.483,678.133,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],115.0
480,6335486,706.902,5,14,30,C12H13BiK3O14,707.497,706.902,C(C(=O)O)C(CC(=O)[O-])(C(=O)O)O.C(C(=O)O)C(CC(=O)[O-])(C(=O)O)[O-].[K].[K].[K].[Bi+3],273.0
432,5487301,301.19,4,4,22,C16H23N5O,301.394,301.19,CCCCCN=C(N)NNC=C1C=NC2=C1C=C(C=C2)CO,95.0
124,5478817,171.946,2,4,9,C4H4FeO4,171.917,171.946,C(=CC(=O)O)C(=O)O.[Fe],74.6
265,5473386,152.016,1,2,10,C5H4N4S,152.175,152.016,C1=NC(=S)C2C(=NC=N2)N1,81.2
561,5361323,334.088,2,4,23,C17H16ClFN2O2,334.775,334.088,C1=CC(=CC=C1C(=C2C=C(C=CC2=O)F)NCCCC(=O)N)Cl,72.2
804,5353980,398.068,3,9,28,C18H14N4O5S,398.393,398.068,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O,146.0
766,5312153,465.182,3,7,32,C23H31NO7S,465.561,465.182,CS(=O)(=O)NC(=O)CCCC=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O,138.0
639,5311297,473.158,2,3,33,C29H28ClNOS,474.059,473.158,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)S)O,34.1
606,5311181,360.23,3,4,26,C22H32O4,360.494,360.23,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O,77.8
1550,5311082,814.289,8,12,56,C35H46N10O9S2,814.934,814.289,C1CC2C(=O)NC3CSSCCC(=O)N(C3=O)C(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC4=CNC5=CC=CC=C54)CC(=O)O)CCCCN=C(N)N,342.0
162,5310993,154.038,1,4,11,C6H6N2O3,154.125,154.038,CC1=CN=C(C=[N+]1[O-])C(=O)O,75.6
1510,5282405,666.393,2,4,50,C44H50N4O2+2,666.91,666.393,C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16,46.9
634,5282204,370.98,2,8,23,C13H10ClN3O4S2,371.81,370.98,CN1C(=C(NC2=CC=CC=N2)O)C(=O)C3=C(S1(=O)=O)C=C(S3)Cl,136.0
